Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN Decoded,Serial Number,Make,Make - Unknown,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Driver / Operator Type,Automation Feature Version,Automation Feature Version CBI,Automation System Engaged?,Engagement Status,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Internal Process Review,Source - NHTSA VOQ,Source - Other - See Narrative,Source - Other Entity,Source - State or Other Agency,Incident Date,Incident Date - Unknown,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude - Unknown,Longitude,Longitude - Unknown,Address,Zip Code,Roadway Type,Roadway-Degraded Surface,Roadway-Missing/Degraded Marking,Roadway-No Unusual Conditions,Roadway-Other-See Narrative,Roadway-Traffic Incident,Roadway-Unknown,Roadway-Wet Surface Condition,Roadway-Work Zone,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Partly Cloudy,Weather - Fog/Smoke/Haze,Weather - Rain,Weather - Severe Wind,Weather - Dust Storm,Weather - Severe Hurricane,Weather - Structure-Indoor,Weather - Unk - See Narrative,Crash With,Highest Injury Severity Alleged,CP Pre-Crash Movement,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,Any Air Bags Deployed?,Was Any Vehicle Towed?,Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Investigating Agency,Investigating Agency - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?
30270-11518,1,Waymo LLC,5-Day,,,Aug-25,SADHW2S19R1,Y,,JAGUAR, ,I-PACE, ,2024, ,0c1e9551cc957f9,In-Vehicle and Remote (Commercial / Test),"5th Generation ADS, Version 10", ,ADS,Verified Not Engaged,Waymo LLC, , ,Y, , , , , , , , , ,Aug-25, ,16:41, ,842912869025dbe,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Parking Lot, , ,Y, , , , , ,Y, , , , , , , , , , ,Other Fixed Object,Property Damage. No Injured Reported,,,,,,,,,,,,,Proceeding Straight,"No Subject Vehicle, No Crash Partner","Yes Subject Vehicle, No Crash Partner",Subject Vehicle - All Belted,9, , , , , , , , , ,Y, , , , ,Y, ,Y, , , ,N/A, ,Yes, ,"On August [XXX], 2025 at 4:41 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Miami, Florida was in a collision involving the exterior wall of a gas station store at [XXX]. 
The Waymo AV was traveling westbound in autonomous mode on [XXX] when the Waymo AV test driver transitioned to manual mode near [XXX]. The test driver continued westbound on [XXX] and made a right turn at the intersection with [XXX] and then a left turn into the [XXX] at [XXX]. The test driver traveled westbound within the gas station and then made a right turn towards a parking stall in front of the gas station store. As the test driver was about to complete the parking maneuver, they accelerated forward towards the exterior wall of the gas station store and the front of the Waymo AV made contact with the cement bumper and pillars in front of the gas station store and the exterior wall of the store. At the time of the impact, the Waymo AV's Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. The Waymo AV, the pillar, and the exterior wall sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.", 
30270-11508,1,Waymo LLC,5-Day,,,Aug-25,SADHW2S16R1,Y,,JAGUAR, ,I-PACE, ,2024, ,7b8954cd5cbc3bf,None,"5th Generation ADS, Version 10", ,ADS,Verified Engaged,Waymo LLC, , ,Y, , , , , , , , , ,Aug-25, ,11:21, ,09531ba31a1bd07,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Street, , ,Y, , , , , ,Y, , , , , , , , , , ,Pickup Truck,Property Damage. No Injured Reported,Passing, ,Y, , , , , , , , , ,Parked,"No Subject Vehicle, No Crash Partner","Yes Subject Vehicle, No Crash Partner",Subject Vehicle - No Passenger In Vehicle,0, , , , ,Y, , , , , , , , , ,Y, ,Y, , , ,N/A, ,Yes, ,"On August [XXX], 2025 at 11:21 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a pickup truck on [XXX] near [XXX]. 
The Waymo AV was stopped in-lane facing west on [XXX] for a passenger pick-up with hazard lights activated. A pickup truck hauling a flatbed trailer was traveling northbound on [XXX] and made a right turn onto eastbound [XXX]. As the pickup truck completed the turn and proceeded to pass the Waymo AV, the left side of the pickup truck made contact with the rear left side of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.", 
30270-11501,1,Waymo LLC,5-Day,,,Aug-25,SADHW2S10M1,Y,,JAGUAR, ,I-PACE, ,2021, ,3d7a03e316ec104,None,"5th Generation ADS, Version 10", ,ADS,Verified Engaged,Waymo LLC, , ,Y, , , , , , , , , ,Aug-25, ,9:03, ,738d6f870cfbec8,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Street, , ,Y, , , , , , , ,Y, , , , , , , , ,Pickup Truck,Property Damage. No Injured Reported,Parked, ,Y, , , , , , , , , ,Proceeding Straight,"No Subject Vehicle, No Crash Partner","Yes Subject Vehicle, No Crash Partner",Subject Vehicle - All Belted,7, , , , , , , , ,Y, , , , , ,Y, ,Y, , , ,N/A, ,Yes, ,"On August [XXX], 2025 at 9:03 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a pickup truck on [XXX] near [XXX]. 
The Waymo AV was traveling eastbound on [XXX] when a city bus that was traveling westbound on [XXX] approached in the oncoming direction. As the Waymo AV continued eastbound with the city bus on its left and a pickup truck that was parked facing east at the curb on the Waymo AV's right, the driver of the pickup truck opened the front left door and the right side of the Waymo AV made contact with the open front left door of the pickup truck. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.", 
30291-11458,1,Nuro,Monthly,7,2025,Aug-25,JTDKAMFU4N3,Y,,TOYOTA, ,Prius, ,2022, ,eceadb0fa118037,In-Vehicle (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,ADS,Verified Engaged,Nuro, , ,Y, , , , , , , , , ,Jul-25, ,18:00, ,5ace8e70579d484,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Intersection, , ,Y, , , , , ,Y, , , , , , , , , , ,Passenger Car,No Injured Reported,Proceeding Straight, , , , , , , , ,Y, , ,Making Left Turn,"No Subject Vehicle, No Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - All Belted,3, , , , ,Y, , , , , , , , , ,Y, ,Y, , , ,N/A, ,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"On Wednesday, July [XXX], a Nuro vehicle operating in autonomous mode stopped at sign-controlled intersection, then began to cautiously proceed through the intersection to make a left turn.  Just after the Nuro vehicle began to move into the intersection, it was struck from behind by another vehicle.", 
30610-11515,1,"Zoox, Inc.",Monthly,7,2025,Aug-25,5TDDGRFH3HS,Y,,TOYOTA, ,Highlander, ,2017, ,0018ace233f8adf,In-Vehicle (Commercial / Test),194.25.07.08, ,ADS,Verified Engaged,Zoox, , , , ,Y,Y, , , , , , ,Jul-25, ,17:23, ,a1fb39677f6ca68,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Street, , ,Y, , , , , ,Y, , , , , , , , , , ,Pickup Truck,Minor W/O Hospitalization,Proceeding Straight, , ,Y, , ,Y, , ,Y, , ,Stopped,"No Subject Vehicle, No Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - All Belted,0, ,Y, , ,Y, , ,Y, , , , , , ,Y, ,Y, , , ,Las Vegas Metro Police Department, ,Yes, ,"A Zoox vehicle (Vehicle 1) operating in autonomous mode was traveling south on [XXX] in the right lane and slowing for a red emergency traffic signal at [XXX] in Las Vegas. Shortly after the Zoox vehicle came to a stop, a pickup (Vehicle 2) following directly behind was rear ended by an SUV (Vehicle 3) that failed to stop. Vehicle 2 then rear ended the stopped Zoox vehicle. The police arrived at the scene. The driver of Vehicle 3 reported that their ""head hurt"" but declined medical attention. The Zoox vehicle sustained minor damage.", 
30610-11514,1,"Zoox, Inc.",Monthly,7,2025,Aug-25,5TDDGRFH8KS,Y,,TOYOTA, ,Highlander, ,2019, ,57bcf49fc2dc14e,In-Vehicle (Commercial / Test),311.25.07.27, ,ADS,Verified Engaged,Zoox, , , , ,Y,Y, , , , , , ,Jul-25, ,18:43, ,62cf95bc8586ee7,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Street, , ,Y, , , , , ,Y, , , , , , , , , , ,Animal,Unknown,"Other, see Narrative",,,,,,,,,,,,Proceeding Straight,"No Subject Vehicle, No Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - All Belted,13, , , , , , , , , ,Y,Y, , , ,Y, ,Y, , , ,None, ,Yes, ,"A Zoox vehicle (Vehicle 1) in autonomous mode was traveling in the left lane on southwest-bound [XXX] toward [XXX] in San Francisco when a ball, immediately followed by a dog, entered the roadway from between parked cars on the left side of [XXX] directly into the path of the Zoox vehicle.  The Zoox vehicle braked in response, but its underbody made contact with the dog.  The Zoox vehicle operator then disengaged autonomous mode and brought the vehicle to a stop. The Zoox vehicle operator then reversed the vehicle to free the dog.  The dog owner did not indicate injuries to the dog at the scene. The dog and its owner then returned to the sidewalk and the Zoox vehicle operator drove the vehicle from the scene.  The police were not called.  Zoox subsequently received an email alleging injuries to the dog, ""abrasions behind its left front leg and a possible cracked rib.""", 
30610-11513,1,"Zoox, Inc.",Monthly,7,2025,Aug-25,7Z00XVHX1RK,Y,,ZOOX, ,Zoox, ,2024, ,dd3309500df77a6,None,B403.25.07.01, ,ADS,Verified Engaged,Zoox, , , , ,Y,Y, , , , , , ,Jul-25, ,15:32, ,d294fc7bca2c459,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Intersection, , ,Y, , , , , ,Y, , , , , , , , , , ,Non-Motorist: Cyclist,No Injured Reported,"Other, see Narrative",,,,,,,,,,,,Making Right Turn,"No Subject Vehicle, No Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - No Passenger In Vehicle,0, ,Y, , , , , , , , , , , , ,Y, ,Y, , , ,None, ,Yes, ,"An unoccupied Zoox vehicle in autonomous mode was traveling in the right turn lane on southbound [XXX], slowing and preparing to make a right turn onto [XXX] with a green traffic light. At that time, an e-cyclist was traveling south on the sidewalk adjacent to southbound [XXX]. As the Zoox vehicle slowed to execute its turn, the e-cyclist rapidly approached the crosswalk in the path ahead of the Zoox vehicle. The Zoox vehicle braked to yield to the approaching e-cyclist. The e-cyclist then veered left and accelerated into the roadway, making contact with the right rear side of the nearly stopped Zoox vehicle. The e-cyclist fell to the ground behind the Zoox vehicle. The Zoox vehicle then started to move and completed the right turn onto [XXX] and completed its mission. The cyclist appears to have ridden away from the scene. A bystander reported the event to Zoox. There was minor damage to the Zoox vehicle, and information was not exchanged with the e-cyclist. The police were later notified.", 
13781-11507,1,"Tesla, Inc.",Monthly,8,2025,Aug-25,7SAYGDEE3TF,Y,,TESLA, ,Model Y, ,2026, ,76e14d6c887dc39,None,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,ADS,Verified Engaged,Tesla Inc, , , , ,Y, , , , , , , ,Jul-25, ,3:45, ,346e79b6abcc2ca,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Street, , , , , , , ,Y, , , ,Y, , , , , , , ,SUV,Property Damage. No Injured Reported,Proceeding Straight, , , , , , , , ,Y, , ,Stopped,"No Subject Vehicle, Unknown Crash Partner","No Subject Vehicle, Unknown Crash Partner",Unknown,0, , , , , , , ,Y, , , , , , , , ,Y,Y, , ,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
30270-11452,1,Waymo LLC,Monthly,7,2025,Aug-25,SADHW2S18R1,Y,,JAGUAR, ,I-PACE, ,2024, ,90f750a3e08168b,None,"5th Generation ADS, Version 10", ,ADS,Verified Engaged,Waymo LLC, , ,Y, , , , , , , , , ,Jul-25, ,22:31, ,4efbce3f9aada78,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Intersection, , ,Y, , , , , ,Y, , , , , , , , , , ,Non-Motorist: Scooter - Skateboard,Minor W/O Hospitalization,Passing,,,,,,,,,,,,Stopped,"No Subject Vehicle, No Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - Not Belted - see Narrative,0, , , , , , , , ,Y, , , , , ,Y, ,Y, , , ,N/A, ,Yes, ,"On [XXX] at 10:31 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a scooterist on [XXX] at [XXX]. 
The Waymo AV was stopped at the curb facing north on [XXX] for a passenger drop-off when the passenger in the Waymo AV opened the rear right door. As the rear right door was being opened by the passenger, a scooterist that was traveling northbound in the rightmost lane on [XXX] proceeded to pass to the right of the Waymo AV. The left handlebar of the scooter made contact with the open rear right door of the stationary Waymo AV, and the scooterist remained standing after the impact. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The scooterist alleged a minor injury and that the scooter sustained damage. The passenger in the Waymo AV was not belted at the time of the collision, as the passenger was preparing to exit the Waymo AV. 
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", 
30270-11472,1,Waymo LLC,Monthly,7,2025,Aug-25,SADHW2S11R1,Y,,JAGUAR, ,I-PACE, ,2024, ,706b41e5720d667,In-Vehicle and Remote (Commercial / Test),"5th Generation ADS, Version 10", ,ADS,Verified Engaged,Waymo LLC, , ,Y, , , , , , , , , ,Jul-25, ,16:17, ,7420c3cf426bdfb,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Intersection, , ,Y, , , , , ,Y, , , , , , , , , , ,Passenger Car,Property Damage. No Injured Reported,Proceeding Straight, , , , , , , , ,Y, , ,Stopped,"No Subject Vehicle, No Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - All Belted,0, , , , , , , ,Y, , , , , , ,Y, ,Y, , , ,N/A, ,Yes, ,"On July [XXX], 2025 at 4:17 PM ET a Waymo Autonomous Vehicle (""Waymo AV"") operating in Miami Beach, Florida was in a collision involving a passenger car on [XXX] at [XXX]. 
The Waymo AV was traveling southbound on [XXX] in the right lane and slowed to a stop for a red light at the intersection with [XXX]. A passenger car traveling directly behind the Waymo AV approached the Waymo AV from behind, and the front of the passenger car made contact with the rear of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver's seating position). The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", 
30270-11327,2,Waymo LLC,Update,,,Aug-25,SADHW2S1XR1,Y,,JAGUAR, ,I-PACE, ,2024, ,b5adad53fe0fb70,None,"5th Generation ADS, Version 10", ,ADS,Verified Engaged,Waymo LLC, , ,Y, , , , , , , , , ,Jul-25, ,1:05, ,49592ecd1caefcf,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Intersection, , ,Y, , , , , ,Y, , , , , , , , , , ,Passenger Car,Minor W/O Hospitalization,Proceeding Straight, , , , , , , , ,Y, , ,Stopped,"Yes Crash Partner, No Subject Vehicle","Yes Subject Vehicle, No Crash Partner",Subject Vehicle - All Belted,0, , , , , , , ,Y, , , , , , ,Y, ,Y, , , ,Los Angeles Police Department, ,Yes, ,"Other than an update to the highest severity injury alleged field to reflect a minor injury, the content of this report is unchanged from the initial report submitted on July 18, 2025 [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION].
On July [XXX], 2025 at 1:05 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a passenger car on [XXX] and [XXX]. 
The Waymo AV was traveling southbound on [XXX] and came to a stop for a red traffic light at the intersection at [XXX]. A passenger car approached the Waymo AV from behind, and the front of the passenger car made contact with the rear of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away and because of airbag deployment. Waymo may supplement or correct its reporting with additional information as it may become available.", 
30270-11455,1,Waymo LLC,Monthly,7,2025,Aug-25,SADHW2S12R1,Y,,JAGUAR, ,I-PACE, ,2024, ,c3868a60524aabc,None,"5th Generation ADS, Version 10", ,ADS,Verified Engaged,Waymo LLC, , ,Y, , , , , , , , , ,Jul-25, ,14:00, ,264c703043ce526,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Intersection, , ,Y, , , , , , , ,Y, , , , , , , , ,SUV,Property Damage. No Injured Reported,Proceeding Straight, ,Y, , , , , , , , , ,Stopped,"No Subject Vehicle, No Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - No Passenger In Vehicle,0, , , , ,Y, , , , , , , , , ,Y, ,Y, , , ,N/A, ,Yes, ,"On July [XXX], 2025 at 2:00 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving an SUV on [XXX] at [XXX]. 
The Waymo AV was traveling southeastbound on a narrow portion of [XXX] when it came to a stop at the intersection at [XXX] to yield to an SUV that was traveling northwestbound on [XXX]. While the Waymo AV was stopped, the SUV proceeded to pass the Waymo AV and the left side of the SUV made contact with the rear left side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", 
30270-11451,1,Waymo LLC,Monthly,7,2025,Aug-25,SADHW2S17R1,Y,,JAGUAR, ,I-PACE, ,2024, ,9c232066e8bf4bf,None,"5th Generation ADS, Version 10", ,ADS,Verified Engaged,Waymo LLC, , ,Y, , , , , , , , , ,Jul-25, ,11:08, ,37480c303aa9916,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Street, , ,Y, , , , , ,Y, , , , , , , , , , ,Heavy Truck,Property Damage. No Injured Reported,Parking Maneuver, , , , , ,Y, , , , , ,Proceeding Straight,"No Subject Vehicle, No Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - All Belted,3, , , ,Y, , , , , , , , , , ,Y, ,Y, , , ,N/A, ,Yes, ,"On July [XXX], 2025 at 11:08 AM CT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Austin, Texas was in a collision involving a heavy truck on [XXX] near [XXX]. 
The Waymo AV was traveling westbound on [XXX] in the left lane. A heavy truck that was stopped facing west in the right lane began to reverse into an alley on the north side of [XXX], and then came to a stop with its front left positioned partially within the left lane of [XXX]. The Waymo AV was proceeding in the left lane and maneuvered towards the left side within the left lane. The heavy truck then proceeded forward and further into the left lane, and the front left side of the heavy truck made contact with the front right side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", 
30270-11468,1,Waymo LLC,Monthly,7,2025,Aug-25,SADHW2S12R1,Y,,JAGUAR, ,I-PACE, ,2024, ,2e33b64d457ec29,None,"5th Generation ADS, Version 10", ,ADS,Verified Engaged,Waymo LLC, , ,Y, , , , , , , , , ,Jul-25, ,8:04, ,d5b83b180b8e66e,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Intersection, , , , , , ,Y, , , ,Y, , , , , , , , ,SUV,Property Damage. No Injured Reported,Proceeding Straight, , , , , , , , ,Y, , ,Stopped,"No Subject Vehicle, No Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - All Belted,0, , , , , , , ,Y, , , , , , ,Y, ,Y, , , ,N/A, ,Yes, ,"On July [XXX], 2025 at 8:04 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving an SUV on [XXX] at [XXX]. 
The Waymo AV was traveling northbound on [XXX] when it slowed to a stop for a stop sign at the intersection at [XXX]. While the Waymo AV was stopped, an SUV approached the Waymo AV from behind and the front of the SUV made contact with the rear of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", 
30270-11428,1,Waymo LLC,Monthly,7,2025,Aug-25,SADHW2S10M1,Y,,JAGUAR, ,I-PACE, ,2021, ,9dfadc4748614b2,None,"5th Generation ADS, Version 10", ,ADS,Verified Engaged,Waymo LLC, , ,Y, , , , , , , , , ,Jul-25, ,22:45, ,0bdabfb53025c8a,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Intersection, , ,Y, , , , , ,Y, , , , , , , , , , ,SUV,Property Damage. No Injured Reported,Proceeding Straight, , , , , , , , ,Y, , ,Stopped,"No Subject Vehicle, No Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - No Passenger In Vehicle,0, , , , , , , ,Y, , , , , , ,Y, ,Y, , , ,N/A, ,Yes, ,"On July [XXX], 2025 at 10:45 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving an SUV on [XXX] at [XXX]. 
The Waymo AV was stopped facing northwest in the second from the left lane on [XXX] for a red light at the intersection at [XXX]. When the light turned green, the Waymo AV began to move forward momentarily and then stopped to yield to an active emergency vehicle traveling southwestbound on [XXX] with emergency lights activated. While the Waymo AV was stopped, an SUV approached the Waymo AV from behind and the front of the SUV made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", 
30270-11426,1,Waymo LLC,Monthly,7,2025,Aug-25,SADHW2S10R1,Y,,JAGUAR, ,I-PACE, ,2024, ,3d21ad706a5bd24,None,"5th Generation ADS, Version 10", ,ADS,Verified Engaged,Waymo LLC, , ,Y, , , , , , , , , ,Jul-25, ,11:40, ,0f38605821106e8,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Parking Lot, , ,Y, , , , , ,Y, , , , , , , , , , ,"Other, see Narrative",Property Damage. No Injured Reported,"Other, see Narrative", , , , , , , , , , ,Y,Proceeding Straight,"No Subject Vehicle, No Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - Not Belted - see Narrative,5, , , , , , ,Y, , , , , , , ,Y, ,Y, , , ,N/A, ,Yes, ,"On July [XXX], 2025 at 11:40 AM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Tempe, Arizona was in a collision involving a line of shopping carts in a parking lot at [XXX]. 
The Waymo was parked at the curb facing south in a parking lot at [XXX] for a passenger pick-up. The AV completed its pick-up and began moving forward as a pedestrian pushing a line of shopping carts towards the curb approached the AV from the left. As the Waymo AV began moving forward, the pedestrian continued pushing the shopping carts forward and the front left of the Waymo AV made contact with the shopping carts. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage. The passenger was not belted at the time of the collision, having just entered the vehicle.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", 
30270-11421,1,Waymo LLC,Monthly,7,2025,Aug-25,SADHW2S17R1,Y,,JAGUAR, ,I-PACE, ,2024, ,2a10e9b27c25a9d,None,"5th Generation ADS, Version 10", ,ADS,Verified Engaged,Waymo LLC, , ,Y, , , , , , , , , ,Jul-25, ,15:50, ,8ffca881a715613,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Intersection, , ,Y, , , , , , , , ,Y, , , , , , , ,Passenger Car,Property Damage. No Injured Reported,Proceeding Straight, , , , , , , , ,Y, , ,Stopped,"No Subject Vehicle, No Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - All Belted,0, , , , , , , ,Y, , , , , , ,Y, ,Y, , , ,N/A, ,Yes, ,"On July [XXX], 2025 at 3:50 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on [XXX] at [XXX]. 
The Waymo AV was traveling northbound in the right lane on [XXX] when it came to a stop in a queue of traffic for a red light at the intersection at [XXX]. A passenger car that was traveling behind the Waymo approached the Waymo AV from behind and the front of the passenger car made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV and the passenger car sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", 
